Date : 2025-09-16 12:30:18
Directory : c:\KimJongHun\Workspace\11_for_sts3\river_dice\testgame
Total : 254 files,  12627 codes, 571 comments, 2175 blanks, all 15373 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| c:\KimJongHun\Workspace\11_for_sts3\river_dice\testgame\src\main\java\com\milite\service\EventServiceImpl.java                         | Java            |        204 |         29 |         26 |        259 |
| c:\KimJongHun\Workspace\11_for_sts3\river_dice\testgame\src\main\java\com\milite\service\RewardService.java                            | Java            |         17 |          0 |         15 |         32 |
| c:\KimJongHun\Workspace\11_for_sts3\river_dice\testgame\src\main\java\com\milite\service\RewardServiceImpl.java                        | Java            |        411 |          0 |         88 |        499 |
| c:\KimJongHun\Workspace\11_for_sts3\river_dice\testgame\src\main\java\com\milite\service\SkillService.java                             | Java            |         20 |          8 |         16 |         44 |
| c:\KimJongHun\Workspace\11_for_sts3\river_dice\testgame\src\main\java\com\milite\service\SkillServiceImpl.java                         | Java            |        301 |          9 |         67 |        377 |
| c:\KimJongHun\Workspace\11_for_sts3\river_dice\testgame\src\main\java\com\milite\service\StartService.java                             | Java            |         17 |          5 |          8 |         30 |
| c:\KimJongHun\Workspace\11_for_sts3\river_dice\testgame\src\main\java\com\milite\service\StartServiceImpl.java                         | Java            |         56 |          4 |         10 |         70 |
| c:\KimJongHun\Workspace\11_for_sts3\river_dice\testgame\src\main\java\com\milite\test\BraveBiteDirectTest.java                         | Java            |         77 |          9 |         19 |        105 |
| c:\KimJongHun\Workspace\11_for_sts3\river_dice\testgame\src\main\java\com\milite\test\SkillChange.java                                 | Java            |          0 |         63 |          1 |         64 |
| c:\KimJongHun\Workspace\11_for_sts3\river_dice\testgame\src\main\java\com\milite\testgame\HomeController.java                          | Java            |         23 |          6 |         11 |         40 |
| c:\KimJongHun\Workspace\11_for_sts3\river_dice\testgame\src\main\java\com\milite\util\CommonUtil.java                                  | Java            |         27 |          0 |          7 |         34 |
| c:\KimJongHun\Workspace\11_for_sts3\river_dice\testgame\src\main\java\com\milite\util\KoreanUtil.java                                  | Java            |         17 |          0 |          3 |         20 |
| c:\KimJongHun\Workspace\11_for_sts3\river_dice\testgame\src\main\java\com\milite\util\RewardUtil.java                                  | Java            |         22 |          0 |          8 |         30 |
| c:\KimJongHun\Workspace\11_for_sts3\river_dice\testgame\src\main\java\com\milite\util\StringUtil.java                                  | Java            |         68 |          0 |         23 |         91 |
| c:\KimJongHun\Workspace\11_for_sts3\river_dice\testgame\src\main\resources\application.properties                                      | Java Properties |          3 |          0 |          0 |          3 |
| c:\KimJongHun\Workspace\11_for_sts3\river_dice\testgame\src\main\resources\com\milite\mapper\ArtifactMapper.xml                        | XML             |         46 |          3 |          4 |         53 |
| c:\KimJongHun\Workspace\11_for_sts3\river_dice\testgame\src\main\resources\com\milite\mapper\BattleConstantsMapper.xml                 | XML             |         18 |          0 |          5 |         23 |
| c:\KimJongHun\Workspace\11_for_sts3\river_dice\testgame\src\main\resources\com\milite\mapper\CharacterStatusMapper.xml                 | XML             |        110 |          4 |         12 |        126 |
| c:\KimJongHun\Workspace\11_for_sts3\river_dice\testgame\src\main\resources\com\milite\mapper\EventMapper.xml                           | XML             |        199 |         12 |         20 |        231 |
| c:\KimJongHun\Workspace\11_for_sts3\river_dice\testgame\src\main\resources\com\milite\mapper\MonsterMapper.xml                         | XML             |         66 |          0 |          3 |         69 |
| c:\KimJongHun\Workspace\11_for_sts3\river_dice\testgame\src\main\resources\com\milite\mapper\RewardMapper.xml                          | XML             |          1 |          0 |          0 |          1 |
| c:\KimJongHun\Workspace\11_for_sts3\river_dice\testgame\src\main\resources\com\milite\mapper\SkillMapper.xml                           | XML             |         32 |          0 |          2 |         34 |
| c:\KimJongHun\Workspace\11_for_sts3\river_dice\testgame\src\main\resources\com\milite\mapper\StartMapper.xml                           | XML             |         28 |          4 |          6 |         38 |
| c:\KimJongHun\Workspace\11_for_sts3\river_dice\testgame\src\main\resources\com\milite\mapper\UserMapper.xml                            | XML             |         17 |          2 |          3 |         22 |
| c:\KimJongHun\Workspace\11_for_sts3\river_dice\testgame\src\main\resources\log4j.xml                                                   | XML             |         43 |          6 |          8 |         57 |
| c:\KimJongHun\Workspace\11_for_sts3\river_dice\testgame\src\main\resources\log4jdbc.log4j2.properties                                  | Java Properties |          1 |          0 |          0 |          1 |
| c:\KimJongHun\Workspace\11_for_sts3\river_dice\testgame\src\main\webapp\WEB-INF\spring\appServlet\servlet-context.xml                  | XML             |         27 |          8 |          9 |         44 |
| c:\KimJongHun\Workspace\11_for_sts3\river_dice\testgame\src\main\webapp\WEB-INF\spring\root-context.xml                                | XML             |         36 |         19 |         13 |         68 |
| c:\KimJongHun\Workspace\11_for_sts3\river_dice\testgame\src\main\webapp\WEB-INF\views\battle_start.jsp                                 | HTML            |         22 |          1 |          0 |         23 |
| c:\KimJongHun\Workspace\11_for_sts3\river_dice\testgame\src\main\webapp\WEB-INF\views\camp.jsp                                         | HTML            |         36 |          2 |          3 |         41 |
| c:\KimJongHun\Workspace\11_for_sts3\river_dice\testgame\src\main\webapp\WEB-INF\views\event\artifact.jsp                               | HTML            |         20 |          1 |          2 |         23 |
| c:\KimJongHun\Workspace\11_for_sts3\river_dice\testgame\src\main\webapp\WEB-INF\views\event\artifact_result.jsp                        | HTML            |         15 |          0 |          3 |         18 |
| c:\KimJongHun\Workspace\11_for_sts3\river_dice\testgame\src\main\webapp\WEB-INF\views\event\boss.jsp                                   | HTML            |         10 |          0 |          1 |         11 |
| c:\KimJongHun\Workspace\11_for_sts3\river_dice\testgame\src\main\webapp\WEB-INF\views\event\boss_result.jsp                            | HTML            |         11 |          0 |          2 |         13 |
| c:\KimJongHun\Workspace\11_for_sts3\river_dice\testgame\src\main\webapp\WEB-INF\views\event\card.jsp                                   | HTML            |         20 |          0 |          2 |         22 |
| c:\KimJongHun\Workspace\11_for_sts3\river_dice\testgame\src\main\webapp\WEB-INF\views\event\card_result.jsp                            | HTML            |         15 |          0 |          3 |         18 |
| c:\KimJongHun\Workspace\11_for_sts3\river_dice\testgame\src\main\webapp\WEB-INF\views\event\normal.jsp                                 | HTML            |         11 |          3 |          2 |         16 |
| c:\KimJongHun\Workspace\11_for_sts3\river_dice\testgame\src\main\webapp\WEB-INF\views\event\normal_result.jsp                          | HTML            |         12 |          0 |          2 |         14 |
| c:\KimJongHun\Workspace\11_for_sts3\river_dice\testgame\src\main\webapp\WEB-INF\views\event\roll.jsp                                   | HTML            |         11 |          0 |          2 |         13 |
| c:\KimJongHun\Workspace\11_for_sts3\river_dice\testgame\src\main\webapp\WEB-INF\views\event\roll_result.jsp                            | HTML            |         12 |          0 |          2 |         14 |
| c:\KimJongHun\Workspace\11_for_sts3\river_dice\testgame\src\main\webapp\WEB-INF\views\event\select.jsp                                 | HTML            |         13 |          0 |          2 |         15 |
| c:\KimJongHun\Workspace\11_for_sts3\river_dice\testgame\src\main\webapp\WEB-INF\views\event\select_result.jsp                          | HTML            |         12 |          0 |          2 |         14 |
| c:\KimJongHun\Workspace\11_for_sts3\river_dice\testgame\src\main\webapp\WEB-INF\views\event\trap.jsp                                   | HTML            |         10 |          1 |          1 |         12 |
| c:\KimJongHun\Workspace\11_for_sts3\river_dice\testgame\src\main\webapp\WEB-INF\views\event\trap_result.jsp                            | HTML            |         12 |          0 |          2 |         14 |
| c:\KimJongHun\Workspace\11_for_sts3\river_dice\testgame\src\main\webapp\WEB-INF\views\home.jsp                                         | HTML            |         17 |          1 |          4 |         22 |
